Per-entry MILP feasibility — 3xT1 + 2xT2 bf16 limb tables
Model : log-research/milp-limb-constraints.lp (milp-limb-gen.cc)
Solver: GLPSOL--GLPK LP/MIP Solver 5.0
CAND_ULP=3, T1_LIMBS=3, T2_LIMBS=2, T3 limbs=1

Each row is one T1 entry solved against ALL 128 T2 entries, every limb
free to pick any bf16 candidate within +/-3 ULP of its ideal residual.
Single-entry fragments are used because the full model does not finish:
glpsol ran 611s on it without closing the tree (LP relaxation feasible
throughout, bound 0.0 -- no infeasibility was ever proven).

ENTRY      STATUS
T1_1       OPTIMAL
T1_2       OPTIMAL
T1_3       OPTIMAL
T1_4       OPTIMAL
T1_5       OPTIMAL
T1_6       OPTIMAL
T1_7       OPTIMAL
T1_8       OPTIMAL
T1_9       OPTIMAL
T1_10      OPTIMAL
T1_11      OPTIMAL
T1_12      OPTIMAL
T1_13      OPTIMAL
T1_14      OPTIMAL
T1_15      OPTIMAL
T1_16      OPTIMAL
T1_17      OPTIMAL
T1_18      OPTIMAL
T1_19      OPTIMAL
T1_20      OPTIMAL
T1_21      OPTIMAL
T1_22      OPTIMAL
T1_23      OPTIMAL
T1_24      OPTIMAL
T1_25      OPTIMAL
T1_26      OPTIMAL
T1_27      OPTIMAL
T1_28      OPTIMAL
T1_29      OPTIMAL
T1_30      OPTIMAL
T1_31      OPTIMAL
T1_32      OPTIMAL
T1_33      OPTIMAL
T1_34      OPTIMAL
T1_35      OPTIMAL
T1_36      OPTIMAL
T1_37      OPTIMAL
T1_38      OPTIMAL
T1_39      OPTIMAL
T1_40      OPTIMAL
T1_41      OPTIMAL
T1_42      OPTIMAL
T1_43      OPTIMAL
T1_44      OPTIMAL
T1_45      OPTIMAL
T1_46      OPTIMAL
T1_47      OPTIMAL
T1_48      OPTIMAL
T1_49      OPTIMAL
T1_50      OPTIMAL
T1_51      OPTIMAL
T1_52      OPTIMAL
T1_53      OPTIMAL
T1_54      OPTIMAL
T1_55      OPTIMAL
T1_56      OPTIMAL
T1_57      OPTIMAL
T1_58      OPTIMAL
T1_59      OPTIMAL
T1_60      OPTIMAL
T1_61      OPTIMAL
T1_62      OPTIMAL
T1_63      OPTIMAL
T1_64      OPTIMAL
T1_65      OPTIMAL
T1_66      OPTIMAL
T1_67      OPTIMAL
T1_68      OPTIMAL
T1_69      OPTIMAL
T1_70      OPTIMAL
T1_71      OPTIMAL
T1_72      OPTIMAL
T1_73      OPTIMAL
T1_74      OPTIMAL
T1_75      OPTIMAL
T1_76      OPTIMAL
T1_77      OPTIMAL
T1_78      OPTIMAL
T1_79      OPTIMAL
T1_80      OPTIMAL
T1_81      OPTIMAL
T1_82      OPTIMAL
T1_83      OPTIMAL
T1_84      OPTIMAL
T1_85      OPTIMAL
T1_86      OPTIMAL
T1_87      OPTIMAL
T1_88      OPTIMAL
T1_89      OPTIMAL
T1_90      OPTIMAL
T1_91      OPTIMAL
